,Unnamed: 0,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL,NER,gender,scores,sentiment_score,overall_sentiment
1235,1235,Amit Rawat,@rawatamituk,2023-01-08T05:06:52.000Z,"Amit Rawat
@rawatamituk
·
8 Jan","People are scared in Karnprayag and Rudraprayag as well. Slowly people are sending their near and dear ones from Joshimath to the lower areas in view of security. This has become the reason for migration. Need to stop broadening of National Highway & Train #chardham project due to vulnerable sesimic zone. #joshimath
Anoop Nautiyal
@anoopnautiyal1
,
Jan 7
1:53
Sharing a brief analysis of the daily bulletins being released by @ChamoliDm on #Joshimath. There is an acute need to speed up temporary accommodation. Also, there were 603 houses with cracks on Jan 6 & it's the same number on Jan 7. @ChamoliDm plz recheck if no cracks today?
69",,,,,"['https://pbs.twimg.com/media/Fl7OTWwaUAIhpXU?format=jpg&name=900x900', 'https://pbs.twimg.com/profile_images/1540664845300748289/yXwtYaah_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1611719317988737024/pu/img/WNII81AcVaXkJe6G?format=jpg&name=240x240']",https://twitter.com/rawatamituk/status/1611952554820403200,PERSON,male,"{'neg': 0.098, 'neu': 0.794, 'pos': 0.108, 'compound': 0.0258}",0.0258,pos
1236,1236,Sanjeev Kotnala,@S_kotnala,2023-01-08T05:05:46.000Z,"Sanjeev Kotnala
@S_kotnala
·
8 Jan","#Joshimath and other places in #uttarakhand what's causing the cracks and buildings to sink.
@baramasa_in
 @anoopnautiyal1
  @Dwari1008
 @Adityaamar123
  @bhatnaturally
youtube.com
'No one can save Joshimath now' | Joshimath Sinking | Expert Talk
The existence of the mythological city of Joshimath in Uttarakhand is under threat. The mountain on which the Joshimath town situated in the frontier district Chamoli is situated, has now started collapsing...
1
157",,,,1,['https://pbs.twimg.com/card_img/1613925452225314817/8_xSCdzt?format=jpg&name=240x240'],https://twitter.com/S_kotnala/status/1611952279149744129,PERSON,male,"{'neg': 0.081, 'neu': 0.872, 'pos': 0.047, 'compound': -0.34}",-0.34,neg
1238,1238,Tamil The Hindu,@TamilTheHindu,2023-01-09T23:47:07.000Z,"Tamil The Hindu
@TamilTheHindu
·
10 Jan","Joshimath is a city that is being buried by urbanization

#Joshimath #JoshimathIsSinking #Uttarakhand
hindutamil.in
Joshimath is a city that is being buried by urbanization
Joshimath, a hill town in the state of Uttarakhand, is slowly sinking into the earth. Joshimath city with a population of more than 25 thousand has a bad geographical structure...
1
2,825",,,,1,['https://pbs.twimg.com/card_img/1615149555565174791/1ho_J_n3?format=jpg&name=small'],https://twitter.com/TamilTheHindu/status/1612596863533985792,PERSON,male,"{'neg': 0.067, 'neu': 0.933, 'pos': 0.0, 'compound': -0.5423}",-0.5423,neg
1240,1240,Amar Ujala,@AmarUjalaNews,2023-01-09T23:10:45.000Z,"my light
@amrujalaneos
·
Go to 10","Joshimath Sinking: IIT Ropar had predicted land subsidence a year ago, now said this

#joshimath
#IITRopar
amarujala.com
Joshimath Sinking: IIT Ropar had predicted land subsidence a year ago, now said this
In the midst of landslide crisis in Joshimath, Uttarakhand, Punjab's IIT-Ropar on Monday claimed that researchers of the institute
1
26
65
4,287",,1.0,26.0,65,['https://pbs.twimg.com/card_img/1614289225163354114/-E4EDe0C?format=jpg&name=small'],https://twitter.com/AmarUjalaNews/status/1612587711617171457,PERSON,male,"{'neg': 0.076, 'neu': 0.924, 'pos': 0.0, 'compound': -0.6249}",-0.6249,neg
1241,1241,vikram,@vikram140gulati,2023-01-09T22:43:03.000Z,"vikram
@vikram140gulati
·
10 Jan","https://youtu.be/OqpTVa7I5PQ #Joshimath
youtube.com
Former CM Harish Rawat urged the central government to save Joshimath,...
Former CM Harish Rawat requested the central government to save Joshimath, said - Joshimath is drowning, save itDescription:- The Official Youtube Account of India's Most ...
133",,,,,[],https://twitter.com/vikram140gulati/status/1612580741522804736,PERSON,male,"{'neg': 0.0, 'neu': 0.794, 'pos': 0.206, 'compound': 0.8625}",0.8625,pos
1248,1248,Atul Simalti,@SimaltiAtul,2023-01-09T19:16:13.000Z,"Atul Simalti
@SimaltiAtul
·
Jan 10","Uploaded a post on Instagram in 2018, at that time, while going home, seeing the method of an alleged development work, I felt great concern that how the mountains are being exploited in the name of development, fear of the mind # It has become a reality in front of Joshimath. Seeing the condition, my heart is paining.
3
202",,,,3,"['https://pbs.twimg.com/media/FmDaSvaaYAAY3Ol?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FmDaTD0aYAEnLtk?format=jpg&name=small']",https://twitter.com/SimaltiAtul/status/1612528690679930880,PERSON,male,"{'neg': 0.139, 'neu': 0.797, 'pos': 0.064, 'compound': -0.5859}",-0.5859,neg
1250,1250,Iqubal Iqbal Ahmed,@iqubalcnbr,2023-01-09T19:12:58.000Z,"Iqubal Iqbal Ahmed
@iqubalcnbr
·
10 Jan","Replying to 
@TheLallantop
FOUR main reasons behinds #JoshimathIsSinking

1. Tapovan Vishnugad Hydropower plant by (NTPC)

2. Helang-Marwari Bypass Road Construction by (BRO)

3. National Highway Road Construction by (NHDP)

4. Heavy Buildings Construction for Tourism Spots.

#Joshimath #Uttrakhand
2
1
305",,2.0,,1,[],https://twitter.com/iqubalcnbr/status/1612527871981162501,PERSON,male,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
1251,1251,Ashish Mohila,@AshishMohila1,2023-01-09T19:08:44.000Z,"Ashish Mahila
@ashishmahila1
·
Go to 10","'development' is destruction
#joshimath
#PahadKoBachanaHai
#Congress
160",😡 😡,,,,[],https://twitter.com/AshishMohila1/status/1612526804186853376,PERSON,male,"{'neg': 0.381, 'neu': 0.619, 'pos': 0.0, 'compound': -0.5719}",-0.5719,neg
1253,1253,Rahul Chandna || Rahul Chandan,@raj301120rahul,2023-01-09T18:50:44.000Z,"Rahul Chandna || Rahul Chandan
@raj301120rahul
,
Jan 10","God's anger is visible in #Joshimath, those who take votes in the name of God should be scared now. This is a sign of God's anger.
103",,,,,[],https://twitter.com/raj301120rahul/status/1612522275982675969,PERSON,male,"{'neg': 0.299, 'neu': 0.64, 'pos': 0.061, 'compound': -0.8481}",-0.8481,neg
1255,1255,Shivam Sharma,@Shivam7_cool,2023-01-09T18:45:57.000Z,"Shivam Sharma
@Shivam7_cool
,
10 Jan","Now if any holocaust occurs in Uttarakhand, don't say that it is a natural calamity. There shouldn't be so much tourism and development that you can't even see your God and play with people's lives.
#joshimath #savejoshimath #joshimathsinking
1
139",,1.0,,,[],https://twitter.com/Shivam7_cool/status/1612521071546335233,PERSON,male,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.7184}",0.7184,pos
1259,1259,ankush negi,@anegi548,2023-01-09T18:31:19.000Z,"Ankush Negi
@अनेगिव्व48
·
10 reports","#Joshimath
78",,,,,[],https://twitter.com/anegi548/status/1612517390843260928,PERSON,male,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
1262,1262,The Hindu,@the_hindu,2023-01-09T18:30:07.000Z,"The Hindu
@the_hindu
·
10 Jan","The Congress on Monday urged the Narendra Modi government to announce the land subsidence in Uttarakhand’s #Joshimath as a national calamity, declare the entire zone as a natural disaster zone and immediately stop all developmental projects.
thehindu.com
Stop all projects till assessment is done and declare Joshimath situation national calamity, says...
The party described the land subsidence as a man-made disaster due to the ‘unbridled development’.
4
34
6,469",,,4.0,34,['https://pbs.twimg.com/card_img/1615055161139007489/kecqXNZY?format=jpg&name=small'],https://twitter.com/the_hindu/status/1612517089859756041,PERSON,male,"{'neg': 0.164, 'neu': 0.768, 'pos': 0.068, 'compound': -0.8126}",-0.8126,neg
1265,1265,Real Kshitij M Kotak,@kshitij_kotak,2023-01-11T20:26:57.000Z,"Kotak Real Horizon
@kshitij_kotak
,
12 Jan","Disgusting that relief of just ₹1.5lakh will b given by govt to people of #joshimath who have lost their home. Enough? Even as temporary relief measure? How much bribe to be paid for ₹1.5Lakh? #Joshimathcrisis
#JoshimathDemolition
#JoshimathLandslide

https://shrts.in/mtSrx
214",↗,,,,['https://pbs.twimg.com/media/FmN9qh6agAAqrPs?format=jpg&name=small'],https://twitter.com/kshitij_kotak/status/1613271267213443078,PERSON,male,"{'neg': 0.17, 'neu': 0.699, 'pos': 0.131, 'compound': -0.212}",-0.212,neg
1266,1266,Abhishek Singh,@abhishivaa,2023-01-11T20:26:53.000Z,"Abhishek Singh
@abhishiva
·
12 informed","I pray for the people of #joshimath 
But it's a well engineered calamity. Result of anthropogenic activities,
Himalayas are the world’s youngest mountain ranges,this means that the slopes are unstable, built on moraine  practically loose soil  and so, prone to landslides .
Down To Earth
@down2earthindia
·
11 Jan
#Joshimath
47",🙏,,,,"['https://pbs.twimg.com/profile_images/1057160680531357696/FLgt6fjn_mini.jpg', 'https://pbs.twimg.com/media/FmL7yOFaMAMtl6n?format=jpg&name=small']",https://twitter.com/abhishivaa/status/1613271250524327936,PERSON,male,"{'neg': 0.116, 'neu': 0.804, 'pos': 0.08, 'compound': -0.4404}",-0.4404,neg
1267,1267,Shah farman,@Shahfar86051988,2023-01-11T20:26:05.000Z,"Shah farman
@Shahfar86051988
·
12 Jan","Replying to 
@Sadhvi_prachi
What about #joshimath@Sadhvi_prachi
44",,,,,[],https://twitter.com/Shahfar86051988/status/1613271046328844295,PERSON,male,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
1275,1275,Vinay Sharma,@VinaySh96237278,2023-01-11T19:01:14.000Z,"Vinay Sharma
@VinaySh96237278
·
12 Jan","Dukhad
#Joshimath
46",,,,,[],https://twitter.com/VinaySh96237278/status/1613249695081705474,PERSON,male,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
1281,1281,Girish Joshi,@girish_joshig,2023-01-11T18:23:53.000Z,"Girish Joshi
@girish_joshig
,
Jan 11","Reply to
@Ipankaj05
Means this woman is a goon???
And Mahesh Jeena Saint???

I know all the news about Delhi Metro contract, how much salary they tell and how much the cleaners get!

And why the photo on the news of #Joshimath?

done on the advice of your saint
@pushkardhami
 accepted the money?
2
67",🤣,2.0,,,[],https://twitter.com/girish_joshig/status/1613240295717752832,PERSON,male,"{'neg': 0.0, 'neu': 0.938, 'pos': 0.062, 'compound': 0.5191}",0.5191,pos
1283,1283,Hardik Patel,@HMHardikPatel,2023-01-11T18:22:48.000Z,"Hardik Patel
@HMHardikPatel
·
11 Jan","(2/2)
It means from the members of our Sanatani family and our Sanatan Sthanak.
Due to the actions of the government, this situation has happened today and if care is not taken, tomorrow it can happen on the banks of Narmada, Godavari and Kaveri. #joshimath
@PMOIndia
 
@sringerimath
 
@govardhanmath
 
@svaamishreeh
 
@DandiSwami
1
62",,,,1,[],https://twitter.com/HMHardikPatel/status/1613240023352213509,PERSON,male,"{'neg': 0.0, 'neu': 0.94, 'pos': 0.06, 'compound': 0.4939}",0.4939,pos
1287,1287,DM Chamoli,@ChamoliDm,2023-01-11T18:19:47.000Z,"Dum Chamoli
@chamolydam
·
11 reported","Hon'ble Chief Minister Shri Pushkar Singh Dhami inspected the relief camps in Joshimath late on Wednesday night and took stock of the arrangements. During this, the CM met the affected and assured them of all possible help.
#joshimath
@DIPR_UK
 @ANI
 @pushkardhami
 @chamolipolice
3
363",,,,3,"['https://pbs.twimg.com/media/FmNgiWDaUAEEYNA?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FmNgivlacAENhW1?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FmNgjQnakAIv-KX?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FmNgjoQakAAtal1?format=jpg&name=360x360']",https://twitter.com/ChamoliDm/status/1613239262736175106,PERSON,male,"{'neg': 0.033, 'neu': 0.798, 'pos': 0.17, 'compound': 0.7717}",0.7717,pos
1288,1288,Gaurav Talwar,@gauravtalwarTOI,2023-01-11T18:18:16.000Z,"Gaurav Tower
@gauravtalvartoi
,
Jan 11","Reported about ""land-subsidence' & 'slow sinking' of #Joshimath on September 17 last year. Never thought, while writing, the situation would go bad so quickly. Thanks for sharing the article 
@Anoopnautiyal1
 
#JoshimathIsSinking 
#JoshimathSubsidence 
#joshimathsinking
1
9
744",,,1.0,9,['https://pbs.twimg.com/media/FmNgM8baAAIYalz?format=jpg&name=small'],https://twitter.com/gauravtalwarTOI/status/1613238879536156672,PERSON,male,"{'neg': 0.089, 'neu': 0.76, 'pos': 0.151, 'compound': 0.3566}",0.3566,pos
1289,1289,Raghav A. Bijalwan,@raghav_bijalwan,2023-01-11T18:05:44.000Z,"Raghava. Bijlwan
@raghav_bijlwan
,
Jan 11","@pushkardhami
 ji fighting all odds and all the propaganda and agenda driven campaign.
More power to you Dhami ji

#joshimath
Pushkar Singh Dhami
@pushkardhami
,
Jan 11
Postponing the pre-scheduled programs today, after reaching Joshimath for the night stay, he inspected the affected areas and met the citizens. During this, reviewed the ongoing relief and rehabilitation works with the officers working in the area.
Show this thread
35",,,,,"['https://pbs.twimg.com/profile_images/1567837710911700993/st_twG0d_mini.jpg', 'https://pbs.twimg.com/media/FmNN7i9aEAEUGs-?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FmNN7zPakAIh1nw?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FmNN8EdaAAE4Fxs?format=jpg&name=360x360']",https://twitter.com/raghav_bijalwan/status/1613235725406990336,PERSON,male,"{'neg': 0.103, 'neu': 0.83, 'pos': 0.067, 'compound': -0.1779}",-0.1779,neg
1291,1291,Samridh Jharkhand,@samridhnews,2023-01-11T18:01:02.000Z,"Prosperous Jharkhand
@samridhanoos
,
Jan 11","Who is responsible for the Joshimath tragedy, what do leading experts say?
https://bit.ly/3GXGFeI
#Joshimathtragedy #Joshimathcrisis #Joshimath
www.samridhjharkhand.com
Who is responsible for the Joshimath tragedy, what do leading experts say?
Till recently, Uttarakhand's Raini village was in news. And now, nearby Joshimath is in news and for the same reasons. At present, the administration is trying to resettle the people from there to safer places.
2
3
201",,,2.0,3,['https://pbs.twimg.com/card_img/1613234434131759107/iwWzRt9T?format=jpg&name=small'],https://twitter.com/samridhnews/status/1613234542957178881,PERSON,male,"{'neg': 0.12, 'neu': 0.784, 'pos': 0.097, 'compound': -0.5803}",-0.5803,neg
1300,1300,Uttarakhand Tak,@UttarakhandTak,2023-01-11T17:24:39.000Z,"up to Uttarakhand
@Uttarakhand
,
Jan 11","In Joshimath, CM Pushkar Singh Dhami inspected the relief camps late night and reviewed the arrangements and assured all possible help to the affected people.

#JOSHIMATH #JoshimathIsSinking
0:49
51 views
1
2
190",,1.0,,2,['https://pbs.twimg.com/ext_tw_video_thumb/1613224897463095296/pu/img/ORkqafIAKfMwEYoS.jpg'],https://twitter.com/UttarakhandTak/status/1613225386200170497,PERSON,male,"{'neg': 0.043, 'neu': 0.732, 'pos': 0.225, 'compound': 0.7717}",0.7717,pos
1303,1303,Mayank Saxena,@mayank_sxn,2023-01-11T17:04:03.000Z,"Mayank Saxena
@mayank_sxn
·
11 Jan","What’s happening in #JoshiMath is dreadful but no channel is giving it the coverage it deserves. Only YouTube journalists are talking about it & raising the voice of common people.

Noida channels are NOT for common people anymore.
5
14
45
1,054",,5.0,14.0,45,[],https://twitter.com/mayank_sxn/status/1613220205920157696,PERSON,male,"{'neg': 0.106, 'neu': 0.825, 'pos': 0.069, 'compound': -0.1655}",-0.1655,neg
1304,1304,Satyajeet Panwar,@Satyajeet_IN,2023-01-11T17:02:36.000Z,"Satyajit Panwar
@satyajit_in
,
Jan 11","Joshimath Update: Not all houses will be demolished: CM Dhami
@OfficeofDhami
 @pushkardhami
 #JoshimathDemolition #Joshimath
12
15
224",,,12.0,15,['https://pbs.twimg.com/ext_tw_video_thumb/1613219774653419520/pu/img/y_AAdmZjRgDKKxrn.jpg'],https://twitter.com/Satyajeet_IN/status/1613219839056949250,PERSON,male,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
1309,1309,ZEE HINDUSTAN,@ZeeHindustan_,2023-01-11T16:30:31.000Z,"ZEE HINDUSTAN
@ZeeHindustan_
·
11 Jan","Disaster at Joshimath, people's anger against the administration

#joshimath #joshimathsinking
4
5
215",,,4.0,5,['https://pbs.twimg.com/amplify_video_thumb/1613157519186341888/img/Zzzr9Cz_2Xb2cvNO.jpg'],https://twitter.com/ZeeHindustan_/status/1613211763373215744,PERSON,male,"{'neg': 0.464, 'neu': 0.536, 'pos': 0.0, 'compound': -0.8316}",-0.8316,neg
1310,1310,N Singh,@NSinghSr,2023-01-11T16:21:13.000Z,"N Singh
@NSinghSr
·
11 Jan","Now bulldozers at work in Joshimath, unsafe houses to be demolished: starting with hotels, Supreme Court refuses urgent hearing #Joshimathcrisis #Joshimath #SaveDevbhumi #JoshimathIsSinking
hindi.opindia.com
Joshimath: Unsafe house-hotel will collapse, SC refuses immediate hearing
Unsafe houses/hotels will be demolished in Joshimath. The Supreme Court has refused urgent hearing on the PIL.
85",,,,,['https://pbs.twimg.com/card_img/1615265736116797441/Nc1l7i8P?format=jpg&name=small'],https://twitter.com/NSinghSr/status/1613209425413828608,PERSON,male,"{'neg': 0.088, 'neu': 0.735, 'pos': 0.176, 'compound': 0.6597}",0.6597,pos
1316,1316,Darryl,@Trendsetting123,2023-01-11T15:54:46.000Z,"Darryl
@Trendsetting123
·
11 Jan","Replying to 
@Trendsetting123
 @IndiaTVHindi
  and 6 others
2) So now that BJP is in power, they want to prove to the world that they built highways by Tunneling through these young mountains, now for that matter even if #Joshimath
Sinks they don't care +

#JoshimathIsSinking
@AdvMohanRajora1
@aayeff1
 @SethLalits
@VijaysMusings
@geetv79
3
3
5
292",,3.0,3.0,5,['https://pbs.twimg.com/media/FmM_XT0agAA2GR9?format=jpg&name=small'],https://twitter.com/Trendsetting123/status/1613202766629076992,PERSON,male,"{'neg': 0.052, 'neu': 0.901, 'pos': 0.047, 'compound': -0.3022}",-0.3022,neg
1322,1322,vikram,@vikram140gulati,2023-01-11T15:34:14.000Z,"vikram
@vikram140gulati
·
11 Jan","What kind of people are these #BJP #RSS people - #Joshimath is a religious center of the #Hindus and #BJP is bent on destroying this place - the blasting and pipeline work should be permanently stopped the place has to be saved let the people be there
1
32",,,,1,[],https://twitter.com/vikram140gulati/status/1613197602828455937,PERSON,male,"{'neg': 0.109, 'neu': 0.835, 'pos': 0.056, 'compound': -0.4019}",-0.4019,neg
1323,1323,Aryaman Rawat,@Aryamanrawatuk,2023-01-11T15:25:53.000Z,"Aryaman Rawat
@Aryamanrawatuk
·
11 Jan","http://twitter.com/e/spaces/1zqqpjlodjb…
#Uttarakhand #JoshimathKarisis #Joshimath #Haldwani #Dehradun #HinduSundrattak
101",,,,,[],https://twitter.com/Aryamanrawatuk/status/1613195501524119553,PERSON,male,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
1324,1324,Jaspreet Singh,@jsprt20,2023-01-11T15:25:43.000Z,"Jaspreet Singh
@jasprat20
,
Jan 11","Replying to 
@Saurabh_Unmute
Unfortunately #Joshimath is just the beginning. Successive givers kept fooling gullible public and let the town reach this stage
34",,,,,[],https://twitter.com/jsprt20/status/1613195456775065600,PERSON,male,"{'neg': 0.249, 'neu': 0.557, 'pos': 0.193, 'compound': -0.4019}",-0.4019,neg
1327,1327,Raj A Bijalwan,@raj_bijalwan,2023-01-11T15:24:21.000Z,"Raja Bijlwan
@raj_bijlwan
,
Jan 11","#joshimath
DM Chamoli
@ChamoliDm
,
Jan 11
In order of the suggestions received in the meeting with the local public representatives, eminent citizens, a committee has been formed for transparent distribution of the interim package to the families affected by landslides under #joshimath municipality and to determine the rate of rehabilitation package. @DIPR_UK
41",,,,,"['https://pbs.twimg.com/profile_images/1608008050232918016/GrHIiAdZ_mini.jpg', 'https://pbs.twimg.com/media/FmM0bJkakAANeXH?format=jpg&name=small']",https://twitter.com/raj_bijalwan/status/1613195113106411520,PERSON,male,"{'neg': 0.03, 'neu': 0.97, 'pos': 0.0, 'compound': -0.1531}",-0.1531,neg
1328,1328,Sam,@SamKhan999,2023-01-12T23:31:38.000Z,"then
@samakhannas
·
13 Jan","The pilgrimage sites of all religions were once arduous & perilous journey & in older days often people would bid tearful farewell to kin because there was no guarantee of returning. Now with modern technology everything’s got easy but with environmental cost to pay #Joshimath
1
3
28
1,690",,1.0,3.0,28,[],https://twitter.com/SamKhan999/status/1613680131515744257,PERSON,male,"{'neg': 0.067, 'neu': 0.86, 'pos': 0.072, 'compound': 0.0644}",0.0644,pos
1329,1329,Anil Kothiyal,@anil_kothiyal,2023-01-12T23:25:21.000Z,"Anil Kothiyal
@anil_kothiyal
·
13 Jan","He recited everything by his emotions.

Everyone is connected in every house,
All that are so connected then,
four brothers four sisters
arm brother love sister,

And my mother is illiterate,
She is my stronghold in sorrow,
mother's head in her lap,
If you keep it then there is no sorrow,
~ Bhavani Prasad Mishra
 #joshimath
46",,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1613678508609531904/pu/img/5cKkByy4RTO9W03z.jpg'],https://twitter.com/anil_kothiyal/status/1613678549894074369,PERSON,male,"{'neg': 0.137, 'neu': 0.776, 'pos': 0.087, 'compound': -0.5106}",-0.5106,neg
1332,1332,Iqubal Iqbal Ahmed,@iqubalcnbr,2023-01-12T20:10:18.000Z,"Iqubal Iqbal Ahmed
@iqubalcnbr
·
13 Jan","#ChipkoMovement also stared in 1974 from Chamoli district of Uttarakhand by Sundar Lal Bahuguna and #JOSHIMATH is also a part of this district. #Joshimathcrisis #JoshimathIsSinking #EnvironmentalJustice #Bpsc #Bssc #PUPSC #MPPSC
201",,,,,[],https://twitter.com/iqubalcnbr/status/1613629464910663681,PERSON,male,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
1333,1333,Tathagat Vijay Pandey,@TathagatPande,2023-01-12T20:07:46.000Z,"Tathagat Vijay Pandey
@TathagatPande
·
13 Jan","People fleeing from #Joshimath. Disappointing video.
@narendramodi
 @BJP4India
From
Sandeep Khasa
72",,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1613485292480270336/pu/img/qh4Kvud0DnirPC6b.jpg'],https://twitter.com/TathagatPande/status/1613628826818613248,PERSON,male,"{'neg': 0.225, 'neu': 0.775, 'pos': 0.0, 'compound': -0.4939}",-0.4939,neg
1335,1335,Jatin Makol,@JatinMakol,2023-01-12T19:43:01.000Z,"Jatin Makal
@jatinmackle
·
Go to 13","Mahadev protect everyone, give strength to everyone. #joshimath
The following media contains potentially sensitive content. Change settings
view
From
Gaurav Srivastav
1
3
177",,,1.0,3,[],https://twitter.com/JatinMakol/status/1613622595240484864,PERSON,male,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.7003}",0.7003,pos
1337,1337,Sanskar Rao,@SanskarBarot,2023-01-12T18:54:08.000Z,"Sanskar Rao
@SanskarBarot
·
13 Jan","Why is NTPC denying road widening work in #Joshimath? Post from PIB below

The two road widening projects - from Mana to Mana Pass (NH07) and from Joshimath to Malari (NH107B) - shall be another step towards providing last mile all weather road connectivity to our border areas.
1
143",,1.0,,,['https://pbs.twimg.com/media/FmSyAcsakAAO8Lv?format=jpg&name=small'],https://twitter.com/SanskarBarot/status/1613610297222393858,PERSON,male,"{'neg': 0.047, 'neu': 0.872, 'pos': 0.081, 'compound': 0.4215}",0.4215,pos
1338,1338,The Hans India,@TheHansIndiaWeb,2023-01-12T18:53:09.000Z,"The Hans India
@TheHansIndiaWeb
·
13 Jan","Best payout for Joshimath residents #PushkarSinghDhami #Joshimath
The following media includes potentially sensitive content. Change settings
View
73",,,,,[],https://twitter.com/TheHansIndiaWeb/status/1613610048126873600,PERSON,male,"{'neg': 0.0, 'neu': 0.802, 'pos': 0.198, 'compound': 0.6369}",0.6369,pos
1339,1339,Mohammad Kasim,@kasim_mks,2023-01-12T18:52:27.000Z,"Mohammed Kasim
@kasim_max
·
13 John","God media for a reason #Joshimath
PuNsTeR™
@Pun_Starr
,
Jan 12
No. of tweets by Godi journalists on Joshimath (where the homes and livelihood of Hindus are actually under threat).

Navika - 0
Anna - 0
Rubika - 0
Chaurasia-0
Rahul Kanwal - 0
R Shivshankar - 0
Sudhir Chaudhary - 0
Amish Devgan - 1 tweet of 3 words.
1
1
92",,,1.0,1,['https://pbs.twimg.com/profile_images/1613443662486310914/24mqdyEM_mini.jpg'],https://twitter.com/kasim_mks/status/1613609872934993922,PERSON,male,"{'neg': 0.048, 'neu': 0.868, 'pos': 0.085, 'compound': 0.1779}",0.1779,pos
1340,1340,Binu Philip,@philbinu,2023-01-12T18:20:55.000Z,"binu philip
@philbinu
,
12 Jan","Guess how many tunnels were under construction at #Joshimath before the cracks were taken note of! 
Guess when warnings were first made? 
Listen to #newsworthy 
@pallaviprsd
 @anubhabhonsle
 #Joshimathcrisis
Anubha Bhonsle
@anubhabhonsle
·
12 Jan
How many warnings do we need to prevent a city from sinking? #Joshimath is #newsworthy and has been for a long time. Do watch and share.

Video: https://youtu.be/kM3SBq5sXkI
141",,,,,"['https://pbs.twimg.com/profile_images/1609870047006330883/q8UVxdI0_mini.jpg', 'https://pbs.twimg.com/media/FmRrYs9acAABR3z?format=jpg&name=small']",https://twitter.com/philbinu/status/1613601937882222593,PERSON,male,"{'neg': 0.079, 'neu': 0.87, 'pos': 0.051, 'compound': -0.4122}",-0.4122,neg
1346,1346,Sri Sri Pranav Math and Bharat Sevashram Sangh,@Pranav_Math,2023-01-14T23:37:08.000Z,"Sri Sri Pranav Math and Bharat Sevashram Sangh
@Pranav_Math
·
15 Jan","Bharat Sevashram Sangh Haridwar branch service among people left homeless due to #Yoshimath hill collapse.
Relief Work by Bharat Sevashram Sangha, Haridwar at #Joshimath among the homeless people due to cracks in their houses.
Bharat Sevashram Sangh #Joshimath Sevakarya
7
82",,,,7,"['https://pbs.twimg.com/media/FmeFm_LacAEgqKZ?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FmeFtKGaUAASmKb?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FmeFywTaMAIgdX4?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FmeF6dWacAIE-Up?format=jpg&name=360x360']",https://twitter.com/Pranav_Math/status/1614406292227133440,PERSON,male,"{'neg': 0.072, 'neu': 0.858, 'pos': 0.07, 'compound': -0.0258}",-0.0258,neg
1352,1352,Jaskaran Singh,@JKSinghCH,2023-01-14T19:37:46.000Z,"Jaskaran Singh
@JKSinghCH
·
15 Jan","A message from Gurdwara Sri Hemkunt Sahib Trust at Joshimath, Uttarakhand, which is supporting several families with accommodation & food after their owned homes developed cracks in #JoshimathCrisis.
#Joshimath
10
65
410
19.6K",,10.0,65.0,410,['https://pbs.twimg.com/media/FmdPKu3aEAIhgct?format=jpg&name=small'],https://twitter.com/JKSinghCH/status/1614346049707200512,PERSON,male,"{'neg': 0.0, 'neu': 0.824, 'pos': 0.176, 'compound': 0.7351}",0.7351,pos
1355,1355,Gurudath Shetty Karkala,@GurudathShettyK,2023-01-14T18:44:31.000Z,"gurudutt shetty karkala
@gurudashetty
,
15 Jan","#Joshimathcrisis is a wake-up call for Hindus! Wake-up atleast now!

Every Hindu should demand 'Namak Haram' to declare Ram Setu as a National Heritage & save from destruction.

If not today's #Joshimath may be tomorrow's Tamilnadu & Kerala!
9
17
36
2,655",,9.0,17.0,36,[],https://twitter.com/GurudathShettyK/status/1614332649740578816,PERSON,male,"{'neg': 0.14, 'neu': 0.786, 'pos': 0.074, 'compound': -0.4359}",-0.4359,neg
